surface,draw_size,tourney_date,outcome,opponent_1serve,serv points,1serve points,opp_return_perc,o_ret_points,winner_seed,winner_name,winner_hand,loser_seed,loser_entry,loser_name,loser_hand,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,128,20150119,L,72.52747253,91,66,52.74725275,48,1,Novak Djokovic,R,31,,Fernando Verdasco,L,7-6(8) 6-3 6-4,5,141,11,0,91,66,54,17,16,3,3,16,5,123,76,58,17,15,12,14,1,11405,33,1135
Clay,28,20150202,W,53.24675325,77,41,27.27272727,21,3,Fernando Verdasco,L,,Q,Gerald Melzer,L,7-6(2) 6-4,3,103,3,5,74,47,36,17,11,8,8,3,2,77,41,31,18,11,4,5,32,1180,154,331
Clay,28,20150202,W,64.86486486,37,24,21.62162162,8,3,Fernando Verdasco,L,5,,Paolo Lorenzi,R,6-1 6-2,3,49,4,3,41,31,28,5,8,0,0,1,3,37,24,13,5,7,3,7,32,1180,68,737
Clay,28,20150202,L,66.33663366,101,67,26.73267327,27,1,Feliciano Lopez,L,3,,Fernando Verdasco,L,7-6(5) 7-6(1),3,111,8,4,101,67,49,15,12,10,12,4,7,73,51,35,11,12,2,4,14,2220,32,1180
Clay,28,20150209,W,58.33333333,48,28,37.5,18,7,Fernando Verdasco,L,,Q,Maximo Gonzalez,R,6-2 6-3,3,70,2,3,50,25,17,15,9,0,2,3,0,48,28,19,5,8,3,8,31,1225,100,564
Clay,28,20150209,L,68.69565217,115,79,22.60869565,26,,Dusan Lajovic,R,7,,Fernando Verdasco,L,6-7(6) 6-3 6-4,3,133,9,2,115,79,62,16,16,4,4,8,5,90,53,42,22,15,4,6,77,666,31,1225
Hard,32,20150223,W,54.38596491,57,31,31.57894737,18,,Fernando Verdasco,L,,,Guillermo Garcia Lopez,R,7-5 6-1,3,81,7,3,61,41,32,11,10,4,5,2,4,57,31,16,13,9,4,8,31,1225,26,1405
Hard,32,20150223,L,70,40,28,65,26,2,Roger Federer,R,,,Fernando Verdasco,L,6-4 6-3,3,60,4,0,40,28,24,7,9,0,2,5,3,53,28,17,10,10,2,7,2,9205,31,1225
Hard,96,20150312,W,60.86956522,69,42,21.73913043,15,28,Fernando Verdasco,L,,Q,James Duckworth,R,6-2 7-6(3),3,78,7,3,62,45,38,9,10,0,0,4,2,69,42,33,11,10,3,5,31,1225,106,533
Hard,96,20150312,L,52.52525253,99,52,32.32323232,32,5,Kei Nishikori,R,28,,Fernando Verdasco,L,6-7(6) 6-1 6-4,3,136,4,5,99,52,40,29,15,3,3,5,2,89,64,41,16,14,3,6,5,5415,31,1225
Hard,96,20150325,W,51.72413793,87,45,27.5862069,24,29,Fernando Verdasco,L,,Q,James Duckworth,R,4-6 6-2 6-1,3,108,3,4,76,50,39,13,13,2,3,6,4,87,45,28,21,12,7,11,34,1180,97,567
Hard,96,20150325,W,69.62025316,79,55,40.50632911,32,29,Fernando Verdasco,L,2,,Rafael Nadal,L,6-4 2-6 6-3,3,135,3,3,88,58,41,15,14,9,12,2,3,79,55,38,13,13,3,6,34,1180,3,5810
Hard,96,20150325,L,72.72727273,66,48,42.42424242,28,,Juan Monaco,R,29,,Fernando Verdasco,L,6-3 6-3,3,83,4,2,66,48,32,8,9,4,5,1,4,58,35,20,10,9,5,9,46,940,34,1180
Clay,28,20150406,W,48.38709677,62,30,11.29032258,7,6,Fernando Verdasco,L,,,Paolo Lorenzi,R,6-3 4-3 RET,3,78,2,1,42,25,20,15,8,0,0,3,2,62,30,19,17,8,3,5,30,1260,83,624
Clay,28,20150406,W,57.62711864,59,34,27.11864407,16,6,Fernando Verdasco,L,,Q,Hyeon Chung,R,7-6(5) 6-2,3,93,2,1,64,46,37,11,10,2,2,0,2,59,34,25,15,10,3,5,30,1260,118,476
Clay,28,20150406,W,50,62,31,24.19354839,15,6,Fernando Verdasco,L,,,Teymuraz Gabashvili,R,6-2 6-3,3,73,6,1,54,44,34,5,9,1,2,2,2,62,31,15,17,8,7,11,30,1260,79,632
Clay,28,20150406,L,61.62790698,86,53,33.72093023,29,8,Sam Querrey,R,6,,Fernando Verdasco,L,7-5 2-6 6-4,3,125,16,1,86,53,43,18,15,1,3,5,2,90,71,51,10,15,7,9,42,1040,30,1260
Clay,56,20150412,L,60.71428571,112,68,30.35714286,34,9,Grigor Dimitrov,R,,,Fernando Verdasco,L,6-4 4-6 6-4,3,147,6,2,112,68,48,22,15,15,17,2,4,94,66,45,15,15,7,10,11,3055,40,1100
Clay,48,20150420,L,73.61111111,72,53,52.77777778,38,,Andrey Rublev,R,,,Fernando Verdasco,L,7-6(4) 6-3,3,93,1,1,72,53,38,12,11,5,7,6,4,85,62,41,6,10,6,9,329,136,37,1100
Clay,56,20150503,W,47.22222222,72,34,38.88888889,28,,Fernando Verdasco,L,,,Guillermo Garcia Lopez,R,4-6 6-2 6-3,3,113,4,4,81,55,45,8,14,5,8,2,6,72,34,20,18,13,4,9,38,1100,28,1325
Clay,56,20150503,W,56.75675676,111,63,30.63063063,34,,Fernando Verdasco,L,9,,Marin Cilic,R,6-7(5) 7-6(5) 6-3,3,147,5,4,103,72,52,17,16,2,5,8,4,111,63,46,25,17,2,7,38,1100,10,3405
Clay,56,20150503,L,59.09090909,110,65,35.45454545,39,7,David Ferrer,R,,,Fernando Verdasco,L,5-7 6-3 6-4,3,147,5,0,110,65,45,24,16,6,8,5,7,101,72,51,11,15,5,8,8,4490,38,1100
Clay,128,20150524,W,76.38888889,72,55,23.61111111,17,32,Fernando Verdasco,L,,Q,Taro Daniel,R,6-3 6-4 6-2,5,95,5,2,69,41,33,19,14,0,1,3,0,72,55,32,10,13,4,9,34,1180,168,303
Clay,128,20150524,L,66.04938272,162,107,25.92592593,42,,Benjamin Becker,R,32,,Fernando Verdasco,L,6-4 0-6 1-6 7-5 10-8,5,193,10,1,162,107,75,26,26,5,11,14,4,146,104,74,30,27,4,8,48,965,34,1180
Grass,28,20150608,W,59.13043478,115,68,30.43478261,35,7,Fernando Verdasco,L,,,Daniel Gimeno Traver,R,7-6(3) 6-7(6) 6-2,3,,7,2,104,67,49,20,16,3,5,1,2,115,68,43,25,16,7,11,42,1045,64,763
Grass,28,20150608,L,61.76470588,68,42,30.88235294,21,,Robin Haase,R,7,,Fernando Verdasco,L,7-6(4) 6-3,3,,3,4,68,42,36,14,11,2,2,10,3,65,37,31,13,10,2,3,83,611,42,1045
Grass,32,20150615,W,70.11494253,87,61,41.37931034,36,,Fernando Verdasco,L,,,Roberto Bautista Agut,R,3-6 7-5 7-6(4),3,,18,6,106,69,53,17,17,4,6,2,4,87,61,49,16,16,3,4,42,1045,21,1705
Grass,32,20150615,L,55.88235294,68,38,39.70588235,27,1,Andy Murray,R,,,Fernando Verdasco,L,7-5 6-4,3,,4,2,68,38,27,18,11,4,5,7,10,69,38,31,11,11,4,7,3,7040,42,1045
Grass,128,20150629,W,66.02870813,209,138,24.88038278,52,,Fernando Verdasco,L,,,Martin Klizan,L,4-6 6-2 6-3 6-7(5) 13-11,5,,27,10,189,118,96,41,32,9,10,10,10,209,138,106,30,31,12,16,43,1045,39,1100
Grass,128,20150629,W,50.66666667,150,76,34,51,,Fernando Verdasco,L,32,,Dominic Thiem,R,5-7 6-4 5-7 6-3 6-4,5,,17,12,164,90,73,40,27,9,12,12,3,150,76,53,49,26,7,11,43,1045,30,1235
Grass,128,20150629,L,63.2183908,87,55,42.52873563,37,4,Stan Wawrinka,R,,,Fernando Verdasco,L,6-4 6-3 6-4,5,,14,3,87,55,48,17,15,4,4,6,12,97,52,38,22,14,13,16,4,5790,43,1045
Clay,28,20150720,L,60.21505376,93,56,36.55913978,34,,Nicolas Almagro,R,5,,Fernando Verdasco,L,6-4 1-6 7-5,3,,7,5,93,56,38,18,14,6,9,5,2,93,58,38,21,15,5,8,138,380,38,1080
Clay,32,20150727,L,72.5,80,58,46.25,37,1,Rafael Nadal,L,,,Fernando Verdasco,L,3-6 6-1 6-1,3,,2,0,80,58,37,13,11,7,9,1,3,76,56,32,7,12,5,11,10,3000,41,1010
Hard,56,20150810,L,63.26530612,98,62,32.65306122,32,,Nick Kyrgios,R,,,Fernando Verdasco,L,6-3 4-6 6-4,3,,15,6,98,62,44,17,15,9,13,10,2,79,43,28,19,14,4,9,41,1020,38,1030
Hard,56,20150816,W,51.57894737,95,49,41.05263158,39,,Fernando Verdasco,L,,,Jo-Wilfried Tsonga,R,4-6 6-3 6-4,3,,9,6,112,66,47,26,15,8,9,14,7,95,49,39,22,14,5,7,43,995,19,1645
